SMILES;FSP3;LogP;Molecular Weight;Number of Rotatable Bonds;Polar Surface Area;Solubility in Water (mg/L);AmpC β-lactamase aggregation;Cysteine protease cruzain aggregation;Firefly Luciferase interference;Nano Luciferase interference;Redox interference;Thiol interference;AmpC β-lactamase aggregation_prob;Cysteine protease cruzain aggregation_prob;Firefly Luciferase interference_prob;Nano Luciferase interference_prob;Redox interference_prob;Thiol interference_prob;AmpC β-lactamase aggregation_AD;Cysteine protease cruzain aggregation_AD;Firefly Luciferase interference_AD;Nano Luciferase interference_AD;Redox interference_AD;Thiol interference_AD;OverallScore;StoplightColor;ConsensusAssayScore
O=C(O)CCn1cc(C=C2C(=O)NC(=S)NC2=O)c(-c2cccc(Br)c2)n1;0.12;1.7;449.29;5;113.32;60.12;0;0;0;0;0;0;0.8508;0.7543;0.9947;0.9904;0.9962;0.9495;NA;NA;NA;NA;NA;NA;0.25;yellow;0.07735
O=C(O)CCn1cc(C=C2C(=O)NC(=O)NC2=O)c(-c2ccc(Br)cc2)n1;0.12;1.54;433.22;5;130.39;45.22;0;0;0;0;0;0;0.8304;0.8319;0.9936;0.9674;0.997;0.9389;NA;NA;NA;NA;NA;NA;0.416666667;yellow;0.073466667
O=C(O)c1ccc(NC2=C(Cl)C(=O)c3ccccc3C2=O)cc1;0;3.33;327.72;3;83.47;1.88;0;0;0;0;0;0;0.993;0.9508;0.955;0.8888;0.9831;0.8115;NA;NA;NA;NA;NA;NA;0.5;yellow;0.069633333
O=C1CC2(C(=O)Nc3ccc(Cl)cc32)c2cnn(Cc3ccccc3Cl)c2N1;0.15;3.82;413.26;2;76.02;2.85;0;0;0;0;0;0;0.8088;0.8574;0.9998;0.9867;0.9975;0.9967;NA;NA;NA;NA;NA;NA;0.583333333;yellow;0.05885
CN1C(=O)C2(CC(=O)Nc3c2cnn3Cc2ccc(Cl)cc2)c2cc(Cl)ccc21;0.19;3.84;427.29;2;67.23;9.37;0;0;0;0;0;0;0.8178;0.7828;0.9971;0.9901;0.9957;0.9913;NA;NA;NA;NA;NA;NA;0.583333333;yellow;0.070866667
OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O;0.52;4.11;415.57;16;81.95;12.62;0;0;0;0;0;1;0.8374;0.7955;0.9992;0.9993;0.9965;0.5476;NA;NA;NA;NA;NA;NA;0.583333333;yellow;0.153283333
CC1=NN(c2ccc(Cl)c(C(=O)O)c2)C(=O)/C1=C/c1ccc(-c2ccccc2[N+](=O)[O-])o1;0.05;5.01;451.82;5;126.25;0.84;0;0;0;0;0;1;0.9795;0.6082;0.9245;0.96;0.9812;0.9437;NA;NA;NA;NA;NA;NA;0.75;yellow;0.248383333
O=[N+]([O-])c1c(Nc2ccccc2O)cc(Cl)c2nonc12;0;3.23;306.67;3;114.32;6.47;0;0;0;0;0;1;0.9806;0.9356;0.9157;0.9964;0.9912;0.9125;NA;NA;NA;NA;NA;NA;0.583333333;yellow;0.182166667
COC(CNC(=O)c1ccc2c3c(onc13)-c1ccccc1C2=O)OC;0.21;2.39;352.35;5;90.66;12.52;0;0;0;0;0;0;0.7288;0.9379;0.989;0.9672;0.9955;0.8145;NA;NA;NA;NA;NA;NA;0.25;yellow;0.094516667
O=C(NC(=S)Nc1ccc(N2CCN(C(=O)c3cccs3)CC2)cc1)c1sc2ccccc2c1Cl;0.16;5.71;541.12;4;64.68;0.12;0;0;0;0;0;0;0.8463;0.6935;0.9969;0.9879;0.9973;0.9733;NA;NA;NA;NA;NA;NA;0.666666667;yellow;0.084133333
O=C1c2cccc3cccc(c23)C(=O)N1CCc1ccc(S(=O)(=O)N2CCN(c3ccccc3)CC2)cc1;0.2;4.19;525.63;6;78;0.88;0;0;0;0;0;0;0.8318;0.7506;0.993;0.9821;0.985;0.5431;NA;NA;NA;NA;NA;NA;0.583333333;yellow;0.1524
O=C(O)c1ccc(COc2ccccc2C=C2C(=O)c3ccccc3C2=O)cc1;0.04;4.43;384.39;5;80.67;0.02;0;0;0;0;0;0;0.9851;0.9263;0.9644;0.9303;0.9995;0.9431;NA;NA;NA;NA;NA;NA;0.5;yellow;0.041883333
CCc1ccc(S(=O)(=O)Nc2cc(SCC(=O)O)c(O)c3ccccc23)cc1;0.15;4.09;417.51;7;103.7;0.42;0;0;0;0;0;1;0.986;0.7905;0.9963;0.9861;0.7315;0.7573;NA;NA;NA;NA;NA;NA;0.75;yellow;0.21115
